level,key,class,budget_ms,completed_depth,nodes,nps,nodes_depth_proxy,qsearch_ratio,eval_per_node,movegen_per_node,make_unmake_per_node,pseudo_to_legal_ratio,tt_hit_rate,tt_cutoff_rate,tt_depth_reject_per_hit,tt_bound_reject_per_eligible_hit,tt_cutoff_per_eligible_hit,tt_store_per_probe,lmr_research_rate,null_research_rate,aspiration_retry_per_iter,futility_pruned,qsearch_see_prune_rate,aborted_iteration_depth,completed_iteration_growth
position,mid_04,normal_middlegame,500,5.0,55078.0,112403.0,8.875557,0.8270634373070918,0.9076219180071898,2.3937506808526092,119.22339228003922,1.1513993653682963,0.29898506254847085,0.0005732204875746029,0.8330889816172324,0.9885135135135135,0.011486486486486487,0.9989679619492058,0.011494252873563218,0.7272727272727273,0.0,65971.0,0.455267779977139,6.0,4.784451136052559
position,mid_04,normal_middlegame,1000,6.0,118973.0,124458.0,7.013068,0.8241197582644801,0.8931858488900843,2.2932598152522,112.82564951711733,1.1891993472796756,0.30596005722909275,0.0003331830742998256,0.9051950547690731,0.9885135135135135,0.011486486486486487,0.9990592477902123,0.011494252873563218,0.8157894736842105,0.0,100239.0,0.4444580268041695,0.0,4.784451136052559
position,mid_04,normal_middlegame,3000,6.0,386240.0,131374.0,8.533808,0.8023016777133388,0.9114700358722729,2.4937862468931233,125.98758802816901,1.1585817778713083,0.15855187401995655,0.00017008349913178307,0.9406599985034048,0.9819251786464901,0.01807482135350988,0.9995749903677723,0.03482587064676617,0.49572649572649574,0.0,841876.0,0.4303728629210428,7.0,4.784451136052559
position,mid_05,normal_middlegame,500,7.0,65479.0,133628.0,4.949129,0.6692832816628232,0.8984572654273457,2.431038959055575,127.45055549444506,1.1259486570950206,0.3054353704705246,0.0017770223286718689,0.7925757288307089,0.9719512195121951,0.02804878048780488,0.9970833655257668,0.0,0.43333333333333335,0.0,142840.0,0.17072526892364548,8.0,1.6330931549150798
position,mid_05,normal_middlegame,1000,7.0,107347.0,109536.0,5.232199,0.6406140832999525,0.9042733537350565,2.398939886536186,126.40384919932555,1.1365352275211773,0.24236174658890694,0.0012838548424546211,0.8074387151310228,0.9724904887328065,0.027509511267193445,0.9960689033878409,0.0,0.6914498141263941,0.0,224782.0,0.14920714196528906,8.0,1.6330931549150798
position,mid_05,normal_middlegame,3000,7.0,344916.0,117318.0,6.181614,0.64615811049353,0.89092416704357,2.3207882498927277,123.76278282248431,1.1666342107655208,0.14351584167148498,0.0004899991180015876,0.8659565024411895,0.9745287824758023,0.02547121752419766,0.9950412089258239,0.0,0.8575498575498576,0.0,424262.0,0.10203870195351622,8.0,1.6330931549150798
position,mid_06,normal_middlegame,500,5.0,78279.0,159752.0,9.522019,0.8912607468158765,0.8368527957689802,2.4115790952873697,128.93961343399891,1.3015767194281695,0.2372624203470249,2.7585445918733275e-05,0.7597953726310894,0.9995159728944821,0.000484027105517909,0.9997241455408127,0.019417475728155338,0.6666666666666666,0.0,36765.0,0.4571491464070831,6.0,6.862333594361785
position,mid_06,normal_middlegame,1000,5.0,132483.0,133536.0,10.578693,0.8887253458934354,0.8197841214672549,2.3634202124046104,124.77635621174038,1.351530533756476,0.2520457358183867,1.8471655245026508e-05,0.8485892268230121,0.9995159728944821,0.000484027105517909,0.9997243457806527,0.019417475728155338,0.5384615384615384,0.0,43513.0,0.4964531319627609,6.0,6.862333594361785
position,mid_06,normal_middlegame,3000,6.0,355131.0,120792.0,8.415206,0.8812832447744635,0.842931200036043,2.434912750506151,129.32765092318047,1.29285505553201,0.1690607925660232,1.1514833984881023e-05,0.9006606729328429,0.9993143640726774,0.0006856359273225917,0.9998100052392495,0.0125,0.5333333333333333,0.0,169616.0,0.473904023141051,7.0,6.862333594361785
position,mid_07,normal_middlegame,500,5.0,72955.0,148885.0,9.376588,0.759769721060928,0.942526214789939,2.2635734356795285,119.91397436776094,1.1112884610290583,0.14568485356650895,0.005420135353656345,0.5798561151079137,0.9114481409001957,0.0885518590998043,0.9929927531891957,0.0,0.9574468085106383,0.4,62098.0,0.39228795770815517,6.0,8.92951221110571
