level,key,class,budget_ms,completed_depth,nodes,nps,ebf_approx,qsearch_ratio,eval_per_node,movegen_per_node,make_unmake_per_node,pseudo_to_legal_ratio,tt_hit_rate,tt_cutoff_rate,tt_store_per_probe,lmr_research_rate,null_research_rate,aspiration_retry_per_iter,futility_pruned,qsearch_see_prune_rate,aborted_iteration_depth
position,opening_01,opening,1000,6.0,206712.0,210929.0,7.689432,0.8541981113820194,0.984514687100894,3.1045032889188735,113.23411316227408,1.1710731308457811,0.12793805928849628,0.000746588144389103,0.9991228894527456,0.07407407407407407,0.3181818181818182,0.5,21764.0,0.3314293485652115,7.0
position,opening_01,opening,3000,7.0,581817.0,197896.0,6.661023,0.8089588306976249,0.9704116586486816,2.9306465778758612,110.55260674748246,1.1742611281396222,0.13401408537360696,0.0005475822296235834,0.999249744790236,0.06991525423728813,0.5333333333333333,0.42857142857142855,89342.0,0.34431531944126403,8.0
position,opening_02,opening,100,4.0,19381.0,197753.0,11.798969,0.861307466075022,0.9470615551313142,2.8891698054795936,118.83390949899386,1.1112757652638565,0.13414354505847284,0.011293281357486815,0.9882481082320569,0.19230769230769232,0.0,0.75,2453.0,0.3877551020408163,5.0
position,opening_02,opening,500,5.0,94902.0,193675.0,9.895895,0.7880389488453545,0.9326568460095678,2.7400792396366778,113.30688499715497,1.190287659182211,0.2544416957157315,0.002867423816484876,0.996904765254583,0.125,0.3684210526315789,0.6,7878.0,0.4297933513027853,6.0
position,opening_02,opening,1000,6.0,177447.0,181067.0,7.496262,0.7903937513736496,0.9279882806997775,2.71359833225343,114.5536129813787,1.2033290461562678,0.22342316829502368,0.0016755557653277953,0.9981360011325563,0.06666666666666667,0.5,0.5,20025.0,0.39246399131941406,7.0
position,opening_02,opening,3000,7.0,537630.0,184943.0,6.586285,0.8323140449751688,0.9568978665625059,2.8105797667540875,122.78978479623532,1.1105022483742841,0.13636869904942234,0.0004605096878386888,0.9994838007685157,0.06779661016949153,0.26744186046511625,0.42857142857142855,450823.0,0.37403208500846724,0.0
position,opening_03,opening,100,4.0,19180.0,195704.0,11.768257,0.8661105318039625,0.9563086548488008,3.040771637122002,116.68362877997914,1.176115693889314,0.10015461260951726,0.010937410525110233,0.9886044780392831,0.05263157894736842,0.0,0.75,1663.0,0.3913305237808549,5.0
position,opening_03,opening,500,5.0,92453.0,188678.0,9.844286,0.7672655295122928,0.9321626435588386,2.8283850381912954,113.57127402664102,1.2332146797620451,0.26044454460940364,0.0027326252922782205,0.9971828605234245,0.3958333333333333,0.058823529411764705,0.6,7011.0,0.5015650741350907,6.0
position,opening_03,opening,1000,6.0,184401.0,188162.0,7.544444,0.7832387026100727,0.9377172574986036,2.8211506445192813,115.61842940114208,1.216181251738583,0.20878220388671861,0.0023523760410853424,0.9975557894588122,0.10416666666666667,0.06060606060606061,0.6666666666666666,17998.0,0.4283127141018088,7.0
position,opening_03,opening,3000,6.0,542191.0,184418.0,9.030089,0.8598206167199381,0.9635700334384009,2.963627208861822,125.77767244384358,1.1552317897755815,0.11229403152826221,0.0006905361297627293,0.9992804323212382,0.10416666666666667,0.043478260869565216,0.6666666666666666,234767.0,0.39752750368606105,7.0
position,opening_04,opening,100,4.0,16528.0,168398.0,11.338486,0.8529162633107454,0.9512342691190707,2.703896418199419,122.8696757018393,1.0859787465179882,0.20591170825335892,0.004836852207293666,0.9946474996176785,0.10714285714285714,0.0,0.25,6996.0,0.5069829730246795,5.0
position,opening_04,opening,500,5.0,86001.0,175510.0,9.702881,0.8378346969133507,0.9253845885512959,2.54920291624516,113.72258462110905,1.1694652520220645,0.21525821596244132,0.002916022467072431,0.9967136150234742,0.037037037037037035,0.9166666666666666,0.2,17088.0,0.4749954674563365,6.0
position,opening_04,opening,1000,6.0,160137.0,163403.0,7.369114,0.8295334619731854,0.9151968795756806,2.5062487469090424,111.51039934903231,1.1981495027486964,0.2057920237712461,0.0031488031221935183,0.9965296641646247,0.024691358024691357,0.7857142857142857,0.16666666666666666,23848.0,0.45675099634738653,7.0
position,opening_04,opening,3000,6.0,493382.0,167816.0,8.889225,0.8337636962840153,0.9111743030755074,2.5895715692911376,121.00502653116652,1.1903786318839369,0.13519085280886722,0.0012598385116089664,0.9985683653277171,0.020958083832335328,0.39823008849557523,0.16666666666666666,283293.0,0.4340780096000267,7.0
position,opening_05,opening,100,4.0,17979.0,183446.0,11.579542,0.8669558929862617,0.8171199733021859,2.522275988653429,119.50731408865899,1.3051075426843464,0.2664557607919175,0.024900500051025613,0.9744871925706705,0.0,0.0,0.25,3315.0,0.5171156893819334,5.0
position,opening_05,opening,500,5.0,87396.0,178356.0,9.734156,0.8644922663080027,0.8373838619616458,2.5013044075243718,118.22792805162707,1.3096445191628292,0.22165063246035988,0.006369143060751826,0.99338588989845,0.008064516129032258,0.5714285714285714,0.2,24908.0,0.4591868267702631,6.0
position,opening_05,opening,1000,5.0,178110.0,181744.0,11.223742,0.8613272696648139,0.8350962888102857,2.4613967006107713,114.6999045533659,1.3359363408121598,0.19041789887041258,0.0034663305376448346,0.9962670286517671,0.008064516129032258,0.6666666666666666,0.2,28626.0,0.46603070817475034,6.0
position,opening_05,opening,3000,6.0,522625.0,177763.0,8.974943,0.8469629275292992,0.8703226305793538,2.568742406122937,120.61556948098541,1.2490592066203616,0.15524072886198947,0.0008931229532598987,0.9989718344008863,0.028225806451612902,0.48,0.16666666666666666,487085.0,0.4398139138332082,7.0
position,pawn_01,pawn_endgame,100,7.0,40672.0,414999.0,4.554815,0.6266227380015735,0.6205497639653816,3.203948662470496,39.75614673485445,1.4303549926610826,0.3628012915175331,0.001676970440267314,0.998147823692839,0.0,0.0,0.0,0.0,0.0,8.0
position,pawn_01,pawn_endgame,500,9.0,209500.0,434130.0,3.901599,0.754873508353222,0.7449212410501194,3.455241050119332,37.44392362768497,1.4425026772084122,0.20557607841996567,0.0004944879141336281,0.9995055120858664,0.0,0.0,0.0,0.0,0.0,0.0
position,pawn_01,pawn_endgame,1000,9.0,363665.0,371084.0,4.148162,0.6384832194464686,0.632144968583724,3.234476784953185,38.95095761208805,1.3933321065680557,0.2601552851786832,0.00036901710058791134,0.9996030270584585,0.0,0.0,0.0,0.0,0.0,10.0
position,pawn_01,pawn_endgame,3000,10.0,1103652.0,375391.0,4.020529,0.7113890972879132,0.7014693037297989,3.3517222820236814,37.824863272118385,1.417426190573196,0.16150120254683237,0.00023065090056156054,0.9997591186159458,0.0,0.0,0.0,0.0,0.0,11.0
position,pawn_02,pawn_endgame,100,10.0,48423.0,494092.0,2.941069,0.6040724449125415,0.5944282675588047,3.1058794374574066,33.63860149102699,1.3252054339706167,0.42294226523649175,4.4600049060053966e-05,0.9996731415763915,0.0,0.0,0.2,0.0,0.0,11.0
position,pawn_02,pawn_endgame,500,12.0,261063.0,532776.0,2.827453,0.5875861382118492,0.5849545895052152,3.1489180772457224,33.883966705354645,1.3093096954920898,0.36276990355706534,1.1713716762328687e-05,0.9999336222716801,0.0,0.0,0.16666666666666666,0.0,0.0,13.0
position,pawn_02,pawn_endgame,1000,13.0,464268.0,473739.0,2.728383,0.5830554765781832,0.5815671120990462,3.150850370906459,33.87689868782686,1.3115739449265915,0.3303620429817149,0.0003593424686174244,0.9996101678673787,0.0,0.0,0.15384615384615385,0.0,0.0,14.0
position,pawn_02,pawn_endgame,3000,14.0,1434193.0,487819.0,2.752692,0.6125479625127163,0.6058006140038336,3.1924092503589128,33.89936221972914,1.3327981174298282,0.21063876078481725,0.00055925898184905,0.9994293275695418,0.0,0.0,0.14285714285714285,0.0,0.0,15.0
position,piece_01,piece_endgame,100,5.0,37810.0,385804.0,8.232303,0.8040729965617561,0.6518645860883364,3.3564929912721504,43.84919333509654,1.599749134440467,0.20137609042879961,0.0,0.9998157021747144,0.0,0.0,0.0,0.0,0.0,6.0
position,piece_01,piece_endgame,500,6.0,181088.0,369564.0,7.521682,0.819099001590387,0.6491816133592507,3.366004373564234,43.707269393885845,1.6285839350791105,0.18228216572870173,0.0,0.9999547189339544,0.0,0.0,0.0,0.0,0.0,7.0
position,piece_01,piece_endgame,1000,6.0,355013.0,362256.0,8.41474,0.879125553148758,0.6806145127079853,3.442442952793278,41.574855005309665,1.6834149974331012,0.121256229088961,0.00024259332261879492,0.99973382121546,0.0,0.0,0.0,0.0,0.0,7.0
position,piece_01,piece_endgame,3000,7.0,952606.0,324015.0,7.14711,0.8426316861325669,0.6630569196498868,3.394807506986099,42.76973061265623,1.64667523471462,0.09016493176264924,0.0003265360853413854,0.9996635312580703,0.0,0.0,0.0,0.0,0.0,8.0
position,piece_02,piece_endgame,100,6.0,36295.0,370349.0,5.754061,0.7227992836478854,0.6639206502273041,3.3161041465766634,44.287146989943516,1.4683218755354959,0.2719474835886214,0.0,0.9998033486908642,0.0,0.0,0.0,0.0,0.0,7.0
position,piece_02,piece_endgame,500,7.0,177215.0,392634.0,5.62064,0.871100076178653,0.7789746917585983,3.5380300764607964,38.96763817961234,1.5646373605745205,0.1251060816049918,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
position,piece_02,piece_endgame,1000,7.0,294243.0,300247.0,6.042877,0.690901737679401,0.6354169852808733,3.2588370836349547,45.58636229239098,1.4754984258941726,0.2289023415691469,0.0,0.999974456936219,0.0,0.0,0.0,0.0,0.0,8.0
position,piece_02,piece_endgame,3000,8.0,886407.0,301498.0,5.539291,0.7496184032842701,0.6839826400287904,3.359975722213385,42.73350955035328,1.500052713265024,0.16297142718216462,8.509241644228607e-05,0.9999027515240659,0.0,0.0,0.0,0.0,0.0,9.0
position,piece_03,piece_endgame,100,6.0,37412.0,381747.0,5.783204,0.7723992301935207,0.7225489147866995,3.36771624077836,44.37271463701486,1.6117233005493126,0.3067309054839167,0.00014170327334561429,0.9996599121439705,0.0,0.0,0.0,0.0,0.0,7.0
position,piece_03,piece_endgame,500,7.0,181012.0,369408.0,5.637688,0.7591375157448125,0.7087099197843237,3.365290698959185,45.06383002231896,1.569839563042258,0.24196396206779622,0.00082423243354626,0.9991286685702511,0.0,0.0,0.0,0.0,0.0,8.0
